Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed
289,14-01-2020 08:00,01-13-2020 00:00,13-01-2020 15:29,Chennai,550,ILLEGAL POSSESSION,25,F,Blunt Object,Other Crime,3,Yes,25-01-2020 08:00
291,13-01-2020 23:00,01-13-2020 02:00,13-01-2020 08:25,Chennai,515,SHOPLIFTING,69,F,Explosives,Other Crime,15,No,
292,15-01-2020 23:00,01-13-2020 03:00,13-01-2020 20:23,Chennai,307,BURGLARY,31,F,Poison,Other Crime,16,No,
294,14-01-2020 17:00,01-13-2020 05:00,13-01-2020 10:55,Chennai,562,ASSAULT,51,F,Blunt Object,Violent Crime,4,Yes,07-02-2020 17:00
297,13-01-2020 20:00,01-13-2020 08:00,13-01-2020 16:27,Delhi,546,TRAFFIC VIOLATION,50,M,Explosives,Traffic Fatality,5,No,
302,16-01-2020 01:00,01-13-2020 13:00,14-01-2020 00:49,Chennai,206,ARSON,59,F,None,Fire Accident,12,Yes,09-04-2020 01:00
311,16-01-2020 17:00,01-13-2020 22:00,14-01-2020 16:21,Delhi,395,DRUG OFFENSE,29,F,None,Other Crime,6,Yes,04-04-2020 17:00
316,14-01-2020 20:00,01-14-2020 03:00,14-01-2020 19:05,Delhi,361,BURGLARY,42,M,Other,Other Crime,11,Yes,01-07-2020 20:00
317,14-01-2020 13:00,01-14-2020 04:00,14-01-2020 12:47,Mumbai,269,DOMESTIC VIOLENCE,42,F,Knife,Violent Crime,1,Yes,23-01-2020 13:00
324,15-01-2020 23:00,01-14-2020 11:00,14-01-2020 18:59,Mumbai,526,FRAUD,67,M,Knife,Other Crime,6,No,
329,15-01-2020 07:00,01-14-2020 16:00,15-01-2020 02:16,Mumbai,187,ARSON,70,M,Knife,Fire Accident,7,No,
331,16-01-2020 00:00,01-14-2020 18:00,15-01-2020 13:53,Delhi,358,ARSON,15,F,Poison,Fire Accident,18,Yes,25-03-2020 00:00
332,15-01-2020 16:00,01-14-2020 19:00,14-01-2020 21:22,Delhi,586,ILLEGAL POSSESSION,57,M,Knife,Other Crime,17,Yes,10-02-2020 16:00
333,15-01-2020 07:00,01-14-2020 20:00,15-01-2020 07:04,Mumbai,534,COUNTERFEITING,70,M,Explosives,Other Crime,14,Yes,12-03-2020 07:00
337,15-01-2020 19:00,01-15-2020 00:00,15-01-2020 15:06,Delhi,574,COUNTERFEITING,53,F,Other,Other Crime,7,No,
342,15-01-2020 07:00,01-15-2020 05:00,16-01-2020 04:41,Delhi,356,KIDNAPPING,30,F,Blunt Object,Other Crime,10,No,
346,17-01-2020 18:00,01-15-2020 09:00,16-01-2020 04:37,Delhi,385,BURGLARY,11,M,Firearm,Other Crime,13,No,
347,17-01-2020 10:00,01-15-2020 10:00,16-01-2020 09:08,Mumbai,236,DOMESTIC VIOLENCE,76,F,Other,Violent Crime,14,No,
348,17-01-2020 06:00,01-15-2020 11:00,16-01-2020 05:33,Delhi,277,ILLEGAL POSSESSION,55,M,Knife,Other Crime,13,Yes,13-02-2020 06:00
352,15-01-2020 19:00,01-15-2020 15:00,16-01-2020 01:58,Mumbai,270,CYBERCRIME,44,F,Blunt Object,Other Crime,11,Yes,25-02-2020 19:00
353,16-01-2020 09:00,01-15-2020 16:00,16-01-2020 09:30,Delhi,205,ILLEGAL POSSESSION,64,F,Explosives,Other Crime,12,Yes,07-03-2020 09:00
357,18-01-2020 06:00,01-15-2020 20:00,16-01-2020 16:30,Delhi,328,CYBERCRIME,44,M,Knife,Other Crime,11,No,
368,16-01-2020 08:00,01-16-2020 07:00,16-01-2020 21:25,Chennai,392,KIDNAPPING,31,M,None,Other Crime,15,No,
372,17-01-2020 17:00,01-16-2020 11:00,17-01-2020 06:35,Delhi,286,FIREARM OFFENSE,36,F,Knife,Fire Accident,15,No,
373,17-01-2020 07:00,01-16-2020 12:00,16-01-2020 21:32,Delhi,282,SEXUAL ASSAULT,24,F,Blunt Object,Violent Crime,8,No,
375,18-01-2020 07:00,01-16-2020 14:00,16-01-2020 20:37,Delhi,510,DRUG OFFENSE,28,F,Other,Other Crime,11,No,
378,17-01-2020 19:00,01-16-2020 17:00,17-01-2020 11:31,Mumbai,103,BURGLARY,27,F,None,Other Crime,12,Yes,11-06-2020 19:00
379,19-01-2020 16:00,01-16-2020 18:00,17-01-2020 00:53,Delhi,456,DRUG OFFENSE,19,F,Knife,Other Crime,8,No,
382,17-01-2020 10:00,01-16-2020 21:00,17-01-2020 10:33,Mumbai,587,IDENTITY THEFT,63,F,Poison,Violent Crime,3,Yes,01-04-2020 10:00
386,19-01-2020 20:00,01-17-2020 01:00,17-01-2020 06:21,Mumbai,159,IDENTITY THEFT,45,F,Firearm,Violent Crime,11,No,
391,20-01-2020 02:00,01-17-2020 06:00,17-01-2020 07:59,Delhi,343,COUNTERFEITING,51,F,Firearm,Other Crime,19,No,
392,19-01-2020 12:00,01-17-2020 07:00,17-01-2020 17:42,Delhi,409,ILLEGAL POSSESSION,54,F,Knife,Other Crime,17,Yes,10-03-2020 12:00
394,19-01-2020 05:00,01-17-2020 09:00,18-01-2020 04:19,Mumbai,524,CYBERCRIME,56,M,Other,Other Crime,9,No,
396,18-01-2020 17:00,01-17-2020 11:00,18-01-2020 01:40,Delhi,161,DOMESTIC VIOLENCE,35,F,Explosives,Violent Crime,8,No,
397,20-01-2020 04:00,01-17-2020 12:00,18-01-2020 06:50,Chennai,248,BURGLARY,69,M,Explosives,Other Crime,7,No,
400,19-01-2020 22:00,01-17-2020 15:00,18-01-2020 09:27,Mumbai,120,TRAFFIC VIOLATION,67,F,Knife,Traffic Fatality,19,No,
410,20-01-2020 09:00,01-18-2020 01:00,18-01-2020 10:38,Chennai,505,SHOPLIFTING,49,F,Explosives,Other Crime,11,Yes,13-04-2020 09:00
412,20-01-2020 14:00,01-18-2020 03:00,18-01-2020 20:04,Mumbai,129,KIDNAPPING,46,M,Knife,Other Crime,17,Yes,28-03-2020 14:00
414,19-01-2020 19:00,01-18-2020 05:00,19-01-2020 01:23,Delhi,267,FRAUD,30,F,None,Other Crime,14,No,
418,21-01-2020 02:00,01-18-2020 09:00,19-01-2020 04:50,Delhi,342,ROBBERY,36,M,Knife,Violent Crime,2,Yes,16-07-2020 02:00
422,20-01-2020 15:00,01-18-2020 13:00,18-01-2020 17:06,Chennai,367,BURGLARY,33,F,Other,Other Crime,1,No,
424,19-01-2020 06:00,01-18-2020 15:00,19-01-2020 03:08,Mumbai,342,TRAFFIC VIOLATION,40,F,Knife,Traffic Fatality,19,No,
430,19-01-2020 18:00,01-18-2020 21:00,19-01-2020 20:16,Delhi,471,BURGLARY,46,F,Blunt Object,Other Crime,5,Yes,17-03-2020 18:00
432,21-01-2020 17:00,01-18-2020 23:00,19-01-2020 08:30,Mumbai,456,ILLEGAL POSSESSION,76,F,Firearm,Other Crime,8,No,
436,19-01-2020 17:00,01-19-2020 03:00,19-01-2020 18:52,Delhi,523,BURGLARY,53,F,Knife,Other Crime,7,Yes,02-06-2020 17:00
438,21-01-2020 17:00,01-19-2020 05:00,20-01-2020 00:09,Delhi,300,PUBLIC INTOXICATION,18,F,Other,Other Crime,10,Yes,29-01-2020 17:00
439,19-01-2020 18:00,01-19-2020 06:00,19-01-2020 22:48,Delhi,298,BURGLARY,18,F,None,Other Crime,4,No,
441,20-01-2020 12:00,01-19-2020 08:00,20-01-2020 05:16,Mumbai,357,VANDALISM,28,M,Blunt Object,Other Crime,8,No,
442,20-01-2020 23:00,01-19-2020 09:00,19-01-2020 14:43,Delhi,196,FIREARM OFFENSE,79,F,None,Fire Accident,1,No,
448,21-01-2020 04:00,01-19-2020 15:00,20-01-2020 00:49,Chennai,571,VEHICLE - STOLEN,64,F,None,Violent Crime,16,Yes,12-03-2020 04:00
450,21-01-2020 19:00,01-19-2020 17:00,19-01-2020 20:37,Delhi,117,SEXUAL ASSAULT,69,M,None,Violent Crime,13,No,
451,20-01-2020 18:00,01-19-2020 18:00,19-01-2020 23:36,Delhi,118,IDENTITY THEFT,42,F,Poison,Violent Crime,16,No,
454,22-01-2020 09:00,01-19-2020 21:00,19-01-2020 21:25,Mumbai,192,CYBERCRIME,70,F,Knife,Other Crime,13,Yes,06-02-2020 09:00
458,22-01-2020 00:00,01-20-2020 01:00,20-01-2020 16:14,Mumbai,283,ARSON,62,M,Poison,Fire Accident,6,Yes,02-02-2020 00:00
465,23-01-2020 00:00,01-20-2020 08:00,20-01-2020 10:01,Delhi,154,FRAUD,27,F,None,Other Crime,10,Yes,08-04-2020 00:00
467,20-01-2020 12:00,01-20-2020 10:00,20-01-2020 16:12,Chennai,208,FRAUD,39,M,Knife,Other Crime,13,Yes,27-03-2020 12:00
468,21-01-2020 05:00,01-20-2020 11:00,20-01-2020 17:58,Delhi,354,DRUG OFFENSE,67,F,Blunt Object,Other Crime,12,Yes,31-03-2020 05:00
476,21-01-2020 01:00,01-20-2020 19:00,21-01-2020 08:58,Delhi,412,SEXUAL ASSAULT,67,F,Explosives,Violent Crime,4,No,
478,23-01-2020 16:00,01-20-2020 21:00,21-01-2020 15:05,Mumbai,571,BURGLARY,77,F,Firearm,Other Crime,6,No,
487,23-01-2020 14:00,01-21-2020 06:00,21-01-2020 17:49,Delhi,167,EXTORTION,48,M,Firearm,Other Crime,3,No,
488,22-01-2020 10:00,01-21-2020 07:00,22-01-2020 05:39,Chennai,242,CYBERCRIME,32,F,Poison,Other Crime,3,Yes,11-04-2020 10:00
489,23-01-2020 19:00,01-21-2020 08:00,21-01-2020 13:10,Delhi,366,IDENTITY THEFT,65,M,Explosives,Violent Crime,11,No,
490,24-01-2020 02:00,01-21-2020 09:00,22-01-2020 03:22,Mumbai,305,COUNTERFEITING,21,F,None,Other Crime,19,No,
491,22-01-2020 12:00,01-21-2020 10:00,21-01-2020 12:19,Chennai,510,SHOPLIFTING,60,M,Other,Other Crime,3,Yes,30-01-2020 12:00
492,23-01-2020 00:00,01-21-2020 11:00,22-01-2020 02:20,Delhi,528,DRUG OFFENSE,40,F,Blunt Object,Other Crime,9,No,
494,22-01-2020 06:00,01-21-2020 13:00,21-01-2020 15:55,Mumbai,316,VEHICLE - STOLEN,28,F,Firearm,Violent Crime,17,Yes,30-03-2020 06:00
498,24-01-2020 13:00,01-21-2020 17:00,21-01-2020 23:09,Mumbai,444,BURGLARY,16,F,Poison,Other Crime,7,No,
500,22-01-2020 02:00,01-21-2020 19:00,21-01-2020 21:10,Chennai,580,ARSON,67,F,Knife,Fire Accident,3,Yes,06-04-2020 02:00
501,22-01-2020 23:00,01-21-2020 20:00,22-01-2020 08:30,Mumbai,408,SHOPLIFTING,18,M,None,Other Crime,19,Yes,14-04-2020 23:00
507,24-01-2020 19:00,01-22-2020 02:00,22-01-2020 04:56,Chennai,402,SEXUAL ASSAULT,32,F,Blunt Object,Violent Crime,2,No,
509,24-01-2020 20:00,01-22-2020 04:00,22-01-2020 17:15,Delhi,508,ARSON,48,M,Other,Fire Accident,18,No,
510,22-01-2020 10:00,01-22-2020 05:00,22-01-2020 20:00,Delhi,210,DRUG OFFENSE,58,M,Firearm,Other Crime,4,No,
516,25-01-2020 06:00,01-22-2020 11:00,23-01-2020 03:19,Delhi,454,FRAUD,69,M,Explosives,Other Crime,10,Yes,07-04-2020 06:00
519,23-01-2020 07:00,01-22-2020 14:00,22-01-2020 20:42,Delhi,520,FIREARM OFFENSE,26,F,Blunt Object,Fire Accident,1,No,
520,23-01-2020 02:00,01-22-2020 15:00,22-01-2020 16:04,Chennai,128,SEXUAL ASSAULT,66,F,Blunt Object,Violent Crime,8,No,
521,22-01-2020 21:00,01-22-2020 16:00,22-01-2020 18:23,Mumbai,259,ROBBERY,73,F,Firearm,Violent Crime,2,Yes,23-04-2020 21:00
524,24-01-2020 13:00,01-22-2020 19:00,23-01-2020 12:14,Delhi,336,VEHICLE - STOLEN,34,F,Other,Violent Crime,2,Yes,07-03-2020 13:00
525,23-01-2020 08:00,01-22-2020 20:00,23-01-2020 00:54,Delhi,369,SHOPLIFTING,47,F,Knife,Other Crime,2,No,
534,23-01-2020 17:00,01-23-2020 05:00,23-01-2020 20:11,Delhi,129,COUNTERFEITING,74,M,Other,Other Crime,8,Yes,01-03-2020 17:00
535,24-01-2020 14:00,01-23-2020 06:00,24-01-2020 02:41,Chennai,203,VEHICLE - STOLEN,47,F,Poison,Violent Crime,3,No,
539,24-01-2020 00:00,01-23-2020 10:00,23-01-2020 22:59,Mumbai,273,ILLEGAL POSSESSION,52,M,Other,Other Crime,3,No,
541,26-01-2020 07:00,01-23-2020 12:00,23-01-2020 22:23,Mumbai,398,COUNTERFEITING,29,M,Firearm,Other Crime,14,Yes,19-02-2020 07:00
542,26-01-2020 04:00,01-23-2020 13:00,24-01-2020 05:28,Delhi,186,CYBERCRIME,11,M,Blunt Object,Other Crime,5,No,
547,26-01-2020 13:00,01-23-2020 18:00,23-01-2020 21:27,Mumbai,536,ILLEGAL POSSESSION,64,M,Blunt Object,Other Crime,9,Yes,22-03-2020 13:00
548,25-01-2020 16:00,01-23-2020 19:00,23-01-2020 22:12,Chennai,384,ASSAULT,73,F,Knife,Violent Crime,1,No,
550,25-01-2020 04:00,01-23-2020 21:00,24-01-2020 14:37,Mumbai,418,FIREARM OFFENSE,30,M,Firearm,Fire Accident,13,Yes,25-02-2020 04:00
551,25-01-2020 06:00,01-23-2020 22:00,24-01-2020 20:11,Mumbai,262,ILLEGAL POSSESSION,61,F,Knife,Other Crime,3,No,
553,25-01-2020 23:00,01-24-2020 00:00,24-01-2020 16:52,Mumbai,377,ROBBERY,79,F,Knife,Violent Crime,9,Yes,12-05-2020 23:00
561,24-01-2020 20:00,01-24-2020 08:00,24-01-2020 17:37,Chennai,212,VANDALISM,75,M,Explosives,Other Crime,17,No,
564,25-01-2020 00:00,01-24-2020 11:00,24-01-2020 20:17,Mumbai,341,PUBLIC INTOXICATION,27,M,Knife,Other Crime,10,No,
566,26-01-2020 03:00,01-24-2020 13:00,25-01-2020 00:19,Chennai,514,KIDNAPPING,48,M,Other,Other Crime,9,No,
569,24-01-2020 22:00,01-24-2020 16:00,25-01-2020 14:23,Mumbai,474,FIREARM OFFENSE,67,F,Other,Fire Accident,13,No,
574,26-01-2020 00:00,01-24-2020 21:00,25-01-2020 14:58,Delhi,280,DRUG OFFENSE,31,F,None,Other Crime,9,Yes,23-04-2020 00:00
578,26-01-2020 08:00,01-25-2020 01:00,25-01-2020 15:38,Mumbai,333,IDENTITY THEFT,27,F,Firearm,Violent Crime,3,No,
582,25-01-2020 10:00,01-25-2020 05:00,26-01-2020 04:43,Delhi,196,VANDALISM,69,M,Poison,Other Crime,4,Yes,16-02-2020 10:00
584,25-01-2020 19:00,01-25-2020 07:00,26-01-2020 00:59,Mumbai,342,BURGLARY,22,F,Poison,Other Crime,8,No,
587,28-01-2020 03:00,01-25-2020 10:00,25-01-2020 20:21,Chennai,253,ARSON,16,F,Firearm,Fire Accident,3,No,
598,26-01-2020 12:00,01-25-2020 21:00,26-01-2020 11:18,Chennai,337,TRAFFIC VIOLATION,35,F,Other,Traffic Fatality,16,Yes,14-02-2020 12:00
600,28-01-2020 12:00,01-25-2020 23:00,26-01-2020 13:14,Mumbai,527,IDENTITY THEFT,55,F,Poison,Violent Crime,17,No,
603,29-01-2020 01:00,01-26-2020 02:00,26-01-2020 17:23,Mumbai,287,ROBBERY,41,F,Knife,Violent Crime,6,Yes,09-07-2020 01:00
606,27-01-2020 12:00,01-26-2020 05:00,26-01-2020 22:18,Chennai,459,CYBERCRIME,20,F,Explosives,Other Crime,5,Yes,09-03-2020 12:00
